Random,HhId,WkrId,Bzone,Azone,Marea,DistanceToWork,PaysForParking,IsCashOut,ParkingCost,IsECO
10,AMATS-17,AMATS-17-2,AMATS40,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-121,AMATS-121-1,AMATS770,AMATS,AMATS,24.23973144,0,0,0,0
10,AMATS-162,AMATS-162-1,AMATS425,AMATS,AMATS,0.686009302,1,0,95,0
10,AMATS-172,AMATS-172-2,AMATS237,AMATS,AMATS,4.657394845,0,0,0,0
10,AMATS-239,AMATS-239-1,AMATS327,AMATS,AMATS,32.82509534,0,0,0,0
10,AMATS-262,AMATS-262-1,AMATS834,AMATS,AMATS,6.430126054,0,0,0,0
10,AMATS-315,AMATS-315-2,AMATS391,AMATS,AMATS,7.626967281,1,0,50,0
10,AMATS-336,AMATS-336-1,AMATS58,AMATS,AMATS,3.354247446,0,0,0,0
10,AMATS-368,AMATS-368-2,AMATS528,AMATS,AMATS,2.589175657,0,0,0,0
10,AMATS-384,AMATS-384-1,AMATS2,AMATS,AMATS,5.952027132,0,0,0,0
10,AMATS-468,AMATS-468-1,AMATS528,AMATS,AMATS,43.33110839,0,0,0,0
10,AMATS-489,AMATS-489-1,AMATS58,AMATS,AMATS,6.358865312,0,0,0,0
10,AMATS-516,AMATS-516-1,AMATS57,AMATS,AMATS,12.05243302,0,0,0,0
10,AMATS-600,AMATS-600-1,AMATS450,AMATS,AMATS,46.48741914,1,0,50,0
10,AMATS-618,AMATS-618-2,AMATS312,AMATS,AMATS,5.13591847,0,0,0,0
10,AMATS-624,AMATS-624-3,AMATS652,AMATS,AMATS,2.526108698,0,0,0,0
10,AMATS-699,AMATS-699-1,AMATS338,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-721,AMATS-721-4,AMATS40,AMATS,AMATS,18.95168763,0,0,0,0
10,AMATS-817,AMATS-817-2,AMATS353,AMATS,AMATS,1.297870332,0,0,0,0
10,AMATS-840,AMATS-840-2,AMATS40,AMATS,AMATS,9.119230585,0,0,0,0
10,AMATS-867,AMATS-867-2,AMATS257,AMATS,AMATS,4.994988867,0,0,0,0
10,AMATS-888,AMATS-888-1,AMATS333,AMATS,AMATS,5.208487415,0,0,0,0
10,AMATS-897,AMATS-897-1,AMATS597,AMATS,AMATS,9.476597881,0,0,0,0
10,AMATS-988,AMATS-988-1,AMATS626,AMATS,AMATS,28.3532889,0,0,0,0
10,AMATS-1110,AMATS-1110-3,AMATS344,AMATS,AMATS,8.896198977,0,0,0,0
10,AMATS-1404,AMATS-1404-3,AMATS246,AMATS,AMATS,54.43891904,0,0,0,0
10,AMATS-1420,AMATS-1420-1,AMATS298,AMATS,AMATS,0.570927733,0,0,0,0
10,AMATS-1436,AMATS-1436-2,AMATS122,AMATS,AMATS,1.95835957,0,0,0,0
10,AMATS-1455,AMATS-1455-2,AMATS949,AMATS,AMATS,61.72428389,0,0,0,0
10,AMATS-1478,AMATS-1478-1,AMATS835,AMATS,AMATS,10.00930337,0,0,0,0
10,AMATS-1752,AMATS-1752-1,AMATS207,AMATS,AMATS,0.584223972,0,0,0,0
10,AMATS-1780,AMATS-1780-3,AMATS57,AMATS,AMATS,50.56668155,0,0,0,0
10,AMATS-1809,AMATS-1809-1,AMATS297,AMATS,AMATS,1.278268011,0,0,0,0
10,AMATS-1853,AMATS-1853-3,AMATS833,AMATS,AMATS,11.83150181,0,0,0,0
10,AMATS-1959,AMATS-1959-1,AMATS349,AMATS,AMATS,2.621652719,0,0,0,0
10,AMATS-1987,AMATS-1987-2,AMATS317,AMATS,AMATS,6.387206314,0,0,0,0
10,AMATS-2036,AMATS-2036-2,AMATS239,AMATS,AMATS,0.912137306,0,0,0,0
10,AMATS-2125,AMATS-2125-1,AMATS117,AMATS,AMATS,1.342014407,0,0,0,0
10,AMATS-2154,AMATS-2154-1,AMATS262,AMATS,AMATS,2.994654047,0,0,0,0
10,AMATS-2357,AMATS-2357-1,AMATS33,AMATS,AMATS,10.76702683,0,0,0,0
10,AMATS-2395,AMATS-2395-1,AMATS559,AMATS,AMATS,27.2349238,0,0,0,0
10,AMATS-2398,AMATS-2398-1,AMATS18,AMATS,AMATS,54.05396992,0,0,0,0
10,AMATS-2415,AMATS-2415-1,AMATS281,AMATS,AMATS,3.413137261,0,0,0,0
10,AMATS-2503,AMATS-2503-2,AMATS415,AMATS,AMATS,58.0997704,1,0,85,0
10,AMATS-2629,AMATS-2629-1,AMATS7,AMATS,AMATS,0.63885422,0,0,0,0
10,AMATS-2656,AMATS-2656-1,AMATS58,AMATS,AMATS,4.804516939,0,0,0,0
10,AMATS-2666,AMATS-2666-1,AMATS528,AMATS,AMATS,5.11469537,0,0,0,0
10,AMATS-2683,AMATS-2683-2,AMATS18,AMATS,AMATS,7.031644437,0,0,0,0
10,AMATS-2712,AMATS-2712-1,AMATS205,AMATS,AMATS,3.131643275,0,0,0,0
10,AMATS-2778,AMATS-2778-1,AMATS911,AMATS,AMATS,2.257302919,0,0,0,0
10,AMATS-2806,AMATS-2806-2,AMATS658,AMATS,AMATS,28.94055048,0,0,0,0
10,AMATS-2872,AMATS-2872-1,AMATS488,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-3102,AMATS-3102-2,AMATS175,AMATS,AMATS,6.236860026,0,0,0,0
10,AMATS-3108,AMATS-3108-2,AMATS314,AMATS,AMATS,6.408027779,0,0,0,0
10,AMATS-3155,AMATS-3155-2,AMATS528,AMATS,AMATS,1.155164999,0,0,0,0
10,AMATS-3252,AMATS-3252-3,AMATS277,AMATS,AMATS,3.970095657,0,0,0,0
10,AMATS-3262,AMATS-3262-1,AMATS584,AMATS,AMATS,27.31887418,0,0,0,0
10,AMATS-3278,AMATS-3278-1,AMATS268,AMATS,AMATS,2.181316771,0,0,0,0
10,AMATS-3302,AMATS-3302-2,AMATS3,AMATS,AMATS,19.57425076,0,0,0,0
10,AMATS-3369,AMATS-3369-3,AMATS36,AMATS,AMATS,28.63450524,0,0,0,0
10,AMATS-3447,AMATS-3447-1,AMATS353,AMATS,AMATS,28.87488738,0,0,0,0
10,AMATS-3737,AMATS-3737-3,AMATS715,AMATS,AMATS,22.58416816,0,0,0,0
10,AMATS-3759,AMATS-3759-1,AMATS239,AMATS,AMATS,5.936755228,0,0,0,0
10,AMATS-3772,AMATS-3772-2,AMATS277,AMATS,AMATS,5.036337377,0,0,0,0
10,AMATS-3860,AMATS-3860-1,AMATS213,AMATS,AMATS,24.00621679,0,0,0,0
10,AMATS-3990,AMATS-3990-2,AMATS273,AMATS,AMATS,0.397093959,0,0,0,0
10,AMATS-4030,AMATS-4030-1,AMATS751,AMATS,AMATS,3.192628135,0,0,0,0
10,AMATS-4050,AMATS-4050-1,AMATS299,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-4207,AMATS-4207-1,AMATS880,AMATS,AMATS,3.73893771,0,0,0,0
10,AMATS-4220,AMATS-4220-1,AMATS213,AMATS,AMATS,58.95981815,0,0,0,0
10,AMATS-4300,AMATS-4300-2,AMATS171,AMATS,AMATS,7.582443542,0,0,0,0
10,AMATS-4343,AMATS-4343-3,AMATS482,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-4458,AMATS-4458-1,AMATS76,AMATS,AMATS,17.66982743,0,0,0,0
10,AMATS-4473,AMATS-4473-1,AMATS302,AMATS,AMATS,3.340702329,0,0,0,0
10,AMATS-4568,AMATS-4568-1,AMATS848,AMATS,AMATS,62.62865772,0,0,0,0
10,AMATS-4587,AMATS-4587-2,AMATS585,AMATS,AMATS,5.621066326,0,0,0,0
10,AMATS-4678,AMATS-4678-2,AMATS528,AMATS,AMATS,3.17190196,0,0,0,0
10,AMATS-4719,AMATS-4719-1,AMATS207,AMATS,AMATS,2.837002609,0,0,0,0
10,AMATS-4725,AMATS-4725-1,AMATS27,AMATS,AMATS,7.339919156,0,0,0,0
10,AMATS-4794,AMATS-4794-3,AMATS661,AMATS,AMATS,2.569180304,0,0,0,0
10,AMATS-4980,AMATS-4980-1,AMATS884,AMATS,AMATS,1.510683436,0,0,0,0
10,AMATS-4990,AMATS-4990-2,AMATS69,AMATS,AMATS,9.948600566,0,0,0,0
10,AMATS-5005,AMATS-5005-4,AMATS333,AMATS,AMATS,3.663402831,0,0,0,0
10,AMATS-5010,AMATS-5010-2,AMATS254,AMATS,AMATS,0.795260599,0,0,0,0
10,AMATS-5113,AMATS-5113-1,AMATS359,AMATS,AMATS,6.900340285,0,0,0,0
10,AMATS-5187,AMATS-5187-1,AMATS213,AMATS,AMATS,17.94750603,0,0,0,0
10,AMATS-5227,AMATS-5227-1,AMATS364,AMATS,AMATS,0.000134259,0,0,0,0
10,AMATS-5301,AMATS-5301-1,AMATS834,AMATS,AMATS,2.99016183,0,0,0,0
10,AMATS-5325,AMATS-5325-1,AMATS237,AMATS,AMATS,4.979286503,0,0,0,0
10,AMATS-5381,AMATS-5381-2,AMATS205,AMATS,AMATS,65.93994225,0,0,0,0
10,AMATS-5441,AMATS-5441-2,AMATS117,AMATS,AMATS,4.131735069,0,0,0,0
10,AMATS-5691,AMATS-5691-1,AMATS34,AMATS,AMATS,1.813658608,0,0,0,0
10,AMATS-5913,AMATS-5913-1,AMATS28,AMATS,AMATS,9.293055598,0,0,0,0
10,AMATS-5977,AMATS-5977-1,AMATS559,AMATS,AMATS,40.46459341,0,0,0,0
10,AMATS-5988,AMATS-5988-2,AMATS34,AMATS,AMATS,4.579802354,0,0,0,0
10,AMATS-6002,AMATS-6002-1,AMATS387,AMATS,AMATS,4.986171542,1,0,95,0
10,AMATS-6075,AMATS-6075-1,AMATS256,AMATS,AMATS,8.231031069,0,0,0,0
10,AMATS-6237,AMATS-6237-1,AMATS415,AMATS,AMATS,0.350991602,1,0,85,0
10,AMATS-6237,AMATS-6237-3,AMATS18,AMATS,AMATS,5.973144968,0,0,0,0
10,AMATS-6312,AMATS-6312-3,AMATS879,AMATS,AMATS,17.69613999,0,0,0,0
10,AMATS-6412,AMATS-6412-3,AMATS346,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-6459,AMATS-6459-1,AMATS237,AMATS,AMATS,2.697442134,0,0,0,0
