Group,Table,Name,Description,Units,Module,Scenario,File,InputDir,DisplayUnits,DisplayUnitsFile,DBTable
Global,Bzone,Bzone,,"",visioneval,test,geo.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/defs,,None,Bzone_test_Global.csv
Global,Bzone,Azone,,"",visioneval,test,geo.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/defs,,None,Bzone_test_Global.csv
Global,Bzone,Marea,,"",visioneval,test,geo.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/defs,,None,Bzone_test_Global.csv
Global,Bzone,Global,Global group indicator,"","",test,"","","","",Bzone_test_Global.csv
Global,Bzone,Year,Year group indicator,"","",test,"","","","",Bzone_test_Global.csv
Global,Bzone,Scenario,Scenario group indicator,"","",test,"","","","",Bzone_test_Global.csv
Global,Azone,Azone,,"",visioneval,test,geo.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/defs,,None,Azone_test_Global.csv
Global,Azone,Marea,,"",visioneval,test,geo.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/defs,,None,Azone_test_Global.csv
Global,Azone,Global,Global group indicator,"","",test,"","","","",Azone_test_Global.csv
Global,Azone,Year,Year group indicator,"","",test,"","","","",Azone_test_Global.csv
Global,Azone,Scenario,Scenario group indicator,"","",test,"","","","",Azone_test_Global.csv
Global,Marea,Marea,,"",visioneval,test,geo.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/defs,,None,Marea_test_Global.csv
Global,Marea,UzaNameLookup,Name(s) of urbanized area(s) in default tables corresponding to the Marea(s). This may be omitted if values are provided for both UrbanLdvDvmt and UrbanHvyTrkDvmt. The name(s) must be consistent with names in the urbanized area names in the default data. See module documentation for a listing.,ID,Initialize,test,marea_base_year_dvmt.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,UrbanLdvDvmt,Average daily vehicle miles of travel on roadways in the urbanized portion of the Marea by light-duty vehicles during the base year. This value may be omitted if a value for UzaNameLookup is provided so that a value may be computed from the urbanized area per capita rate tabulated by the LoadDefaultRoadDvmtValues.R script and the base year urban population.,MI/DAY,Initialize,test,marea_base_year_dvmt.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,UrbanHvyTrkDvmt,Average daily vehicle miles of travel on roadways in the urbanized portion of the Marea by heavy trucks during he base year. This value may be omitted if a value for UzaNameLookup is provided so that a value may be computed from the urbanized area per capita rate tabulated by the LoadDefaultRoadDvmtValues.R script and the base year urban population.,MI/DAY,Initialize,test,marea_base_year_dvmt.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,LdvFwyDvmtProp,Proportion of light-duty daily vehicle miles of travel in the urbanized portion of the Marea occurring on freeways,proportion,Initialize,test,marea_dvmt_split_by_road_class.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,LdvArtDvmtProp,Proportion of light-duty daily vehicle miles of travel in the urbanized portion of the Marea occurring on arterial roadways,proportion,Initialize,test,marea_dvmt_split_by_road_class.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,LdvOthDvmtProp,Proportion of light-duty daily vehicle miles of travel in the urbanized portion of the Marea occurring on other roadways,proportion,Initialize,test,marea_dvmt_split_by_road_class.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,HvyTrkFwyDvmtProp,Proportion of heavy truck daily vehicle miles of travel in the urbanized portion of the Marea occurring on freeways,proportion,Initialize,test,marea_dvmt_split_by_road_class.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,HvyTrkArtDvmtProp,Proportion of heavy truck daily vehicle miles of travel in the urbanized portion of the Marea occurring on arterial roadways,proportion,Initialize,test,marea_dvmt_split_by_road_class.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,HvyTrkOthDvmtProp,Proportion of heavy truck daily vehicle miles of travel in the urbanized portion of the Marea occurring on other roadways,proportion,Initialize,test,marea_dvmt_split_by_road_class.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,BusFwyDvmtProp,Proportion of bus daily vehicle miles of travel in the urbanized portion of the Marea occurring on freeways,proportion,Initialize,test,marea_dvmt_split_by_road_class.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,BusArtDvmtProp,Proportion of bus daily vehicle miles of travel in the urbanized portion of the Marea occurring on arterial roadways,proportion,Initialize,test,marea_dvmt_split_by_road_class.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,BusOthDvmtProp,Proportion of bus daily vehicle miles of travel in the urbanized portion of the Marea occuring on other roadways,proportion,Initialize,test,marea_dvmt_split_by_road_class.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Marea_test_Global.csv
Global,Marea,ComSvcDvmtHhDvmtFactor,Ratio of Marea base year commercial service DVMT to household DVMT,proportion,CalculateRoadDvmt,test,"","",,None,Marea_test_Global.csv
Global,Marea,ComSvcDvmtIncomeFactor,Ratio of base year commercial service vehicle DVMT to household income,MI/USD,CalculateRoadDvmt,test,"","",,None,Marea_test_Global.csv
Global,Marea,HvyTrkDvmtIncomeFactor,Ratio of base year heavy truck DVMT to household income,MI/USD,CalculateRoadDvmt,test,"","",,None,Marea_test_Global.csv
Global,Marea,ComSvcDvmtPopulationFactor,Ratio of base year commercial service vehicle DVMT to population,MI/PRSN,CalculateRoadDvmt,test,"","",,None,Marea_test_Global.csv
Global,Marea,HvyTrkDvmtPopulationFactor,Ratio of base year heavy truck DVMT to population,MI/PRSN,CalculateRoadDvmt,test,"","",,None,Marea_test_Global.csv
Global,Marea,LdvUrbanRoadProp,The proportion of the DVMT of households residing in the marea and associated commercial service DVMT that occurs on urbanized area roadways in the marea,proportion,CalculateRoadDvmt,test,"","",,None,Marea_test_Global.csv
Global,Marea,LambdaAdj,Constant to adjust the modeled lambda parameter to match base year freeway and arterial LDV proportions,constant,CalculateRoadPerformance,test,"","",,None,Marea_test_Global.csv
Global,Marea,Global,Global group indicator,"","",test,"","","","",Marea_test_Global.csv
Global,Marea,Year,Year group indicator,"","",test,"","","","",Marea_test_Global.csv
Global,Marea,Scenario,Scenario group indicator,"","",test,"","","","",Marea_test_Global.csv
Global,Model,ValueOfTime,,base cost year dollars per hour,VERSPM Test,test,"","",,None,Model_test_Global.csv
Global,Model,Global,Global group indicator,"","",test,"","","","",Model_test_Global.csv
Global,Model,Year,Year group indicator,"","",test,"","","","",Model_test_Global.csv
Global,Model,Scenario,Scenario group indicator,"","",test,"","","","",Model_test_Global.csv
Global,Region,StateAbbrLookup,"Postal code abbreviation of the 50 states, the District of Columbia (DC), or Puerto Rico (PR) where the region is located. It is recommended that the value be blank if the model is not a state model (i.e. is a model for a metropolitan area). See the module documentation for details.",ID,Initialize,test,region_base_year_dvmt.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Region_test_Global.csv
Global,Region,HvyTrkDvmtGrowthBasis,Factor used to grow heavy truck DVMT from base year value,ID,Initialize,test,region_base_year_dvmt.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Region_test_Global.csv
Global,Region,HvyTrkDvmt,"Average daily vehicle miles of travel on roadways in the region by heavy trucks during the base year. The value for this input may be NA instead of number. In that case, if a state abbreviation is provided, the base year value is calculated from the state per capita rate tabulated by the LoadDefaultRoadDvmtValues.R script and the base year population. If the state abbreviation is NA (as for a metropolitan model) the base year value is calculated from metropolitan area per capita rates and metropolitan area population.",MI/DAY,Initialize,test,region_base_year_dvmt.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Region_test_Global.csv
Global,Region,ComSvcDvmtGrowthBasis,Factor used to grow commercial service vehicle DVMT in Marea from base year value,ID,Initialize,test,region_base_year_dvmt.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,Region_test_Global.csv
Global,Region,HvyTrkDvmtIncomeFactor,Ratio of Region base year heavy truck DVMT to household income,MI/USD,CalculateRoadDvmt,test,"","",,None,Region_test_Global.csv
Global,Region,HvyTrkDvmtPopulationFactor,Ratio of Region base year heavy truck DVMT to population,MI/PRSN,CalculateRoadDvmt,test,"","",,None,Region_test_Global.csv
Global,Region,Global,Global group indicator,"","",test,"","","","",Region_test_Global.csv
Global,Region,Year,Year group indicator,"","",test,"","","","",Region_test_Global.csv
Global,Region,Scenario,Scenario group indicator,"","",test,"","","","",Region_test_Global.csv
Global,OtherOpsEffectiveness,Level,"Congestion levels: None = none, Mod = moderate, Hvy = heavy, Sev = severe, Ext = extreme",category,Initialize,test,other_ops_effectiveness.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,OtherOpsEffectiveness_test_Global.csv
Global,OtherOpsEffectiveness,Art_Rcr,Percentage reduction of recurring arterial delay that would occur with full deployment of other user-defined arterial operations measures,percentage,Initialize,test,other_ops_effectiveness.csv,C:/Github/RSG_VEdev/VisionEval-Dev/built/development/4.3.2/runtime/models/test/inputs,,None,OtherOpsEffectiveness_test_Global.csv
